age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,sex,capital-gain,capital-loss,hours-per-week,native-country,salary
22,4,102632,8,9,4,3,1,1,0,0,41,38,0
21,4,199915,11,10,4,8,3,0,0,0,40,38,0
30,4,77143,6,13,4,4,3,1,0,0,40,11,0
29,7,267989,6,13,2,10,0,1,0,0,50,38,1
19,4,301606,11,10,4,8,3,1,0,0,35,38,0
47,4,287828,6,13,2,4,5,0,0,0,40,38,1
31,4,114937,4,12,2,1,0,1,0,0,40,38,1
35,0,129305,8,9,2,0,0,1,0,0,40,38,0
39,4,365739,11,10,0,3,1,1,0,0,40,38,0
37,4,254202,6,13,2,12,0,1,0,0,50,38,0
46,4,146195,4,12,0,13,1,0,0,0,36,38,0
38,1,125933,9,14,2,10,0,1,0,0,40,19,1
27,4,163127,5,11,2,1,5,0,0,0,35,38,0
49,4,81973,11,10,2,3,0,1,0,0,40,38,1
61,5,66614,8,9,2,3,0,1,0,0,40,38,0
27,4,232782,11,10,4,12,3,0,0,0,40,38,0
70,4,105376,11,10,4,13,2,1,0,0,40,38,0
43,0,174662,11,10,0,0,1,0,0,0,40,38,0
47,2,186009,11,10,0,1,4,0,0,0,38,25,0
34,4,198183,8,9,4,1,1,0,0,0,40,38,0
33,4,163003,6,13,4,4,2,0,0,0,40,29,0
21,4,296158,8,9,4,3,3,1,0,0,35,38,0
52,0,252903,8,9,0,0,1,1,0,0,45,38,1
48,4,187715,8,9,2,3,0,1,0,0,46,38,0
23,4,214542,6,13,4,6,1,1,0,0,40,38,0
42,4,228456,6,13,5,8,2,1,0,0,50,38,0
25,4,252752,8,9,4,8,4,0,0,0,40,38,0
44,5,78374,9,14,0,4,4,0,0,0,40,38,0
28,4,88419,8,9,4,4,1,0,0,0,40,9,0
45,6,201080,9,14,2,12,0,1,0,0,40,38,1
36,4,207157,11,10,0,8,4,0,0,0,40,25,0
39,1,235485,4,12,4,4,1,1,0,0,42,38,0
46,7,102628,9,14,6,11,4,1,0,0,40,38,0
28,7,175325,8,9,2,11,0,1,0,0,40,38,0
28,7,149624,6,13,2,10,0,1,0,0,40,38,1
21,4,312956,8,9,4,3,3,1,0,0,40,38,0
44,2,181344,11,10,2,4,0,1,0,0,38,38,1
43,4,114580,11,10,0,1,1,0,0,0,40,38,0
37,1,29054,11,10,2,1,0,1,0,0,42,38,1
34,4,304030,8,9,2,1,0,1,0,0,40,38,0
41,6,143129,6,13,0,4,1,0,0,0,40,38,0
53,0,135105,6,13,0,0,1,0,0,0,50,38,0
31,4,99928,9,14,2,10,5,0,0,0,50,38,0
24,4,159567,11,10,2,7,0,1,0,0,40,38,0
47,4,120939,11,10,2,13,0,1,0,0,45,38,0
36,4,99374,11,10,0,3,1,1,0,0,40,38,0
24,6,32921,8,9,4,12,1,1,0,0,40,38,0
19,0,170653,8,9,4,0,3,1,0,0,40,21,0
51,4,259323,6,13,2,4,0,1,0,0,50,38,1
37,7,48211,8,9,0,1,4,0,0,0,35,38,0
18,4,140164,1,7,4,12,3,0,0,0,40,38,0
44,2,160943,8,9,2,14,0,1,0,0,40,38,0
37,4,208358,8,9,2,3,0,1,0,0,40,38,1
35,4,153790,11,10,4,12,1,0,0,0,40,38,0
60,4,85815,8,9,2,3,0,1,0,0,40,38,0
50,4,313321,4,12,0,12,1,0,0,0,40,38,0
38,4,182609,6,13,2,12,0,1,0,0,50,30,0
25,4,255004,0,6,4,3,1,1,0,0,40,38,0
31,4,197860,11,10,2,6,0,1,0,0,40,38,0
18,4,243313,8,9,4,12,3,0,0,0,40,38,0
65,4,176796,8,9,0,1,1,0,0,0,40,38,0
41,4,130408,8,9,0,12,4,0,0,0,38,38,0
25,4,159732,11,10,4,1,1,1,0,0,42,38,0
33,4,110978,11,10,0,3,2,0,0,0,40,38,0
59,7,268700,8,9,2,8,0,1,0,0,40,38,0
40,7,170525,11,10,4,1,1,0,0,0,38,38,0
41,4,180138,6,13,2,4,0,1,0,0,50,19,1
23,4,115458,8,9,4,14,3,1,0,0,40,38,0
40,4,347890,6,13,2,10,0,1,0,0,40,38,1
24,7,273905,4,12,2,11,0,1,0,0,50,38,0
56,4,203580,8,9,2,1,0,1,0,0,35,0,0
58,4,236596,8,9,2,1,0,1,0,0,45,38,1
32,4,183916,8,9,4,8,1,0,0,0,34,38,0
45,4,153141,8,9,2,1,0,1,0,0,40,0,0
41,4,112763,10,15,2,10,5,0,0,0,40,38,1
42,4,390781,6,13,2,1,5,0,0,0,40,38,0
19,2,27382,11,10,4,1,3,1,0,0,40,38,0
42,6,303044,8,9,2,5,0,1,0,0,40,1,1
20,4,117789,8,9,4,8,3,0,0,0,40,38,0
45,4,187666,5,11,6,4,1,0,0,0,45,38,0
36,4,150042,6,13,0,10,3,0,0,0,40,38,0
26,4,378322,1,7,2,3,0,1,0,0,40,38,0
64,4,21174,8,9,2,4,0,1,0,0,40,38,1
33,4,185480,6,13,4,10,1,0,0,0,45,38,0
33,4,222205,8,9,2,3,5,0,0,0,40,38,1
61,4,69867,8,9,2,4,0,1,0,0,40,38,1
27,2,209109,9,14,4,10,3,1,0,0,35,38,0
30,4,70377,8,9,0,10,3,0,0,0,40,38,0
35,4,190174,11,10,4,4,1,0,0,0,40,38,0
25,4,193787,11,10,4,13,3,0,0,0,40,38,0
34,4,175413,4,12,0,12,4,0,0,0,45,38,0
60,4,173960,6,13,0,10,1,0,0,0,42,38,0
21,4,205759,8,9,4,6,3,1,0,0,40,38,0
50,4,176609,11,10,0,8,1,1,0,0,45,38,0
25,4,371987,6,13,4,4,1,0,0,0,40,38,0
36,4,200352,6,13,2,10,0,1,0,0,45,38,0
31,4,127595,8,9,0,10,1,0,0,0,40,38,0
21,4,231931,11,10,4,12,3,1,0,0,45,38,0
27,4,248402,6,13,4,13,4,0,0,0,40,38,0
24,4,278130,8,9,4,3,3,1,0,0,40,38,0
31,4,217460,8,9,2,14,0,1,0,0,45,38,1
24,4,303296,11,10,2,1,5,0,0,0,40,24,0
43,4,173321,8,9,0,1,1,0,0,0,40,38,0
26,4,193945,4,12,4,13,1,1,0,0,45,38,0
46,4,83082,4,12,4,10,1,0,0,0,33,38,0
35,4,193815,4,12,2,1,0,1,0,0,40,38,1
26,4,59306,6,13,4,12,1,1,0,0,40,38,0
36,6,205607,6,13,0,10,1,0,0,0,40,38,1
24,4,191954,11,10,4,7,1,1,0,0,40,38,0
77,6,138714,11,10,2,12,0,1,0,0,40,38,0
39,6,174308,8,9,2,4,0,1,0,0,40,38,0
35,4,186110,8,9,0,14,1,1,0,0,45,38,0
29,4,200381,1,7,4,4,1,0,0,0,40,38,0
63,6,78383,8,9,2,5,0,1,0,0,45,38,0
58,6,321171,8,9,2,6,0,1,0,0,40,38,0
41,4,206565,11,10,4,3,1,1,0,0,45,38,0
26,4,224563,6,13,4,1,1,1,0,0,40,38,0
47,4,178686,5,11,4,8,1,1,0,0,40,38,0
55,2,98545,0,6,2,1,0,1,0,0,40,38,0
53,4,242606,8,9,2,14,0,1,0,0,40,38,0
30,4,94235,8,9,4,3,2,1,0,0,40,38,0
45,4,261192,8,9,2,8,0,1,0,0,40,38,0
26,4,94936,4,12,4,12,1,1,0,0,40,38,0
22,7,293364,11,10,4,11,3,0,0,0,40,38,0
43,6,241895,6,13,4,12,1,1,0,0,42,38,0
30,0,151989,5,11,0,0,4,0,0,0,40,38,0
33,4,117963,6,13,2,4,0,1,0,0,40,38,1
26,4,192262,8,9,2,8,0,1,0,0,40,38,0
33,4,111363,6,13,2,4,0,1,0,0,40,38,1
59,0,372020,6,13,2,0,0,1,0,0,40,38,1
38,1,95432,8,9,2,1,0,1,0,0,40,38,1
65,4,161400,1,7,6,8,4,1,0,0,40,38,0
40,4,96129,5,11,2,13,0,1,0,0,40,38,1
42,4,111949,8,9,2,1,5,0,0,0,35,38,0
26,6,117125,3,5,2,3,0,1,0,0,40,31,0
62,4,270092,9,14,2,10,0,1,0,0,40,38,1
43,4,180609,6,13,2,14,0,1,0,0,45,38,0
28,4,92262,8,9,2,3,0,1,0,0,40,38,0
56,6,183081,11,10,2,12,0,1,0,0,45,38,0
57,4,212448,6,13,0,4,1,0,0,0,45,38,1
40,7,184018,5,11,2,7,0,1,0,0,38,38,1
45,4,256649,8,9,2,7,0,1,0,0,40,38,0
44,4,160323,8,9,4,3,1,1,0,0,40,38,0
33,4,267404,8,9,2,3,5,0,0,0,40,38,0
23,4,35633,11,10,4,12,1,1,0,0,40,38,0
38,4,172927,8,9,2,12,0,1,0,0,50,38,0
54,4,174319,8,9,0,14,1,1,0,0,40,38,0
25,4,344991,11,10,2,3,0,1,0,0,40,38,0
46,4,108699,11,10,0,12,1,0,0,0,40,38,0
36,2,117312,11,10,2,14,5,0,0,0,40,38,0
29,4,134152,8,9,5,7,1,1,0,0,40,38,0
19,4,232392,8,9,4,8,2,0,0,0,40,38,0
35,4,220098,8,9,2,8,5,0,0,0,40,38,1
27,4,301302,6,13,4,3,1,1,0,0,50,38,0
46,6,277946,4,12,5,3,1,1,0,0,40,38,0
34,4,196164,8,9,4,8,1,0,0,0,35,38,0
44,4,115562,11,10,2,13,0,1,0,0,40,38,0
45,4,96975,11,10,0,6,4,0,0,0,40,38,0
20,0,137300,8,9,4,0,2,0,0,0,35,38,0
52,5,132178,6,13,2,4,0,1,0,0,50,38,1
20,4,416103,11,10,4,6,3,1,0,0,40,38,0
28,4,108574,11,10,4,8,1,0,0,0,40,38,0
50,7,288353,6,13,2,11,0,1,0,0,40,38,1
28,4,110145,8,9,2,1,0,1,0,0,40,38,0
32,4,364657,11,10,2,4,0,1,0,0,50,38,0
24,4,241951,8,9,4,6,4,0,0,0,40,38,0
33,4,118500,11,10,0,4,4,0,0,0,40,38,0
35,4,92440,2,8,0,3,1,1,0,0,50,38,1
34,2,243867,1,7,5,7,1,1,0,0,40,38,0
34,7,240283,8,9,0,14,4,0,0,0,40,38,0
32,7,92003,6,13,2,4,5,0,0,0,40,38,1
29,4,188401,8,9,0,5,1,1,0,0,40,38,0
33,4,228528,0,6,4,3,4,0,0,0,35,38,0
63,5,222289,8,9,2,4,0,1,0,0,40,38,1
47,2,287480,9,14,2,10,0,1,0,0,40,38,0
17,0,202521,1,7,4,0,3,1,0,0,40,38,0
33,4,208405,9,14,2,10,0,1,0,0,50,38,1
34,2,117018,11,10,4,11,1,0,0,0,40,38,0
23,4,81281,11,10,2,1,0,1,0,0,40,38,0
42,2,340148,11,10,2,1,5,0,0,0,40,38,0
29,4,363425,6,13,4,10,1,1,0,0,40,38,0
24,1,191073,8,9,4,2,3,1,0,0,40,38,0
44,4,116632,11,10,2,10,0,1,0,0,40,38,1
27,4,405855,3,5,4,3,2,1,0,0,40,25,0
20,4,298227,11,10,4,12,1,1,0,0,35,38,0
44,4,290521,8,9,6,4,4,0,0,0,40,38,0
51,4,56915,8,9,2,3,0,1,0,0,40,38,0
20,4,146538,8,9,2,7,0,1,0,0,40,38,0
19,4,206399,8,9,4,7,3,0,0,0,40,38,0
60,4,245062,8,9,2,3,0,1,0,0,40,38,1
42,4,197583,4,12,2,4,0,1,0,0,40,0,1
44,6,234885,8,9,2,12,5,0,0,0,40,38,1
40,4,72887,5,11,2,7,0,1,0,0,40,38,1
30,4,180374,8,9,2,4,5,0,0,0,40,38,0
38,4,351299,11,10,2,14,0,1,0,0,50,38,0
32,0,115745,11,10,2,0,0,1,0,0,40,38,0
44,4,116632,4,12,4,5,3,1,0,0,40,38,0
54,2,288825,8,9,2,14,0,1,0,0,40,38,0
32,4,132601,6,13,2,10,0,1,0,0,50,38,0
52,4,35598,8,9,0,14,4,1,0,0,40,38,0
38,4,33983,11,10,2,14,0,1,0,0,40,38,0
60,4,201965,11,10,4,10,4,1,0,0,40,38,1
22,0,139883,11,10,4,0,3,1,0,0,40,38,0
35,4,285020,8,9,4,3,1,1,0,0,40,38,0
46,4,279196,6,13,4,3,1,0,0,0,40,38,0
27,4,161155,0,6,4,8,1,1,0,0,40,38,0
23,4,197904,8,9,4,8,4,0,0,0,35,38,0
33,4,111746,4,12,2,3,0,1,0,0,45,31,0
41,4,193626,8,9,3,3,4,0,0,0,40,38,0
59,2,286967,8,9,2,14,0,1,0,0,45,38,0
45,2,164427,6,13,0,10,4,0,0,0,40,38,0
40,4,347934,8,9,4,8,1,0,0,0,35,38,0
46,1,371373,8,9,0,1,1,1,0,0,40,38,0
41,4,343121,8,9,0,1,4,0,0,0,36,38,0
20,4,262749,11,10,4,7,3,1,0,0,40,38,0
26,4,64293,11,10,4,10,1,0,0,0,35,38,0
23,2,324960,8,9,4,5,1,1,0,0,40,30,0
62,2,114060,8,9,2,14,0,1,0,0,40,38,0
52,4,48925,11,10,2,1,0,1,0,0,40,38,0
58,4,180980,11,10,0,8,4,0,0,0,42,10,0
25,4,181054,6,13,4,12,1,0,0,0,40,38,0
24,4,388093,6,13,4,4,1,1,0,0,40,38,0
43,4,112131,11,10,2,4,0,1,0,0,40,38,0
39,4,91996,8,9,0,8,4,0,0,0,40,38,0
32,4,37070,5,11,4,3,1,1,0,0,45,38,0
34,4,337587,11,10,2,10,0,1,0,0,50,38,1
28,4,189346,8,9,0,3,1,1,0,0,45,38,0
57,0,222216,5,11,6,0,4,0,0,0,38,38,0
21,0,204226,11,10,4,0,4,0,0,0,35,38,0
34,4,108116,6,13,2,10,0,1,0,0,50,38,1
24,2,248344,11,10,0,6,1,1,0,0,50,38,0
37,2,186035,11,10,2,13,0,1,0,0,45,38,1
28,4,85812,11,10,2,12,5,0,0,0,40,38,0
42,4,221172,6,13,2,4,0,1,0,0,40,38,1
38,6,190387,8,9,2,3,0,1,0,0,50,38,0
44,6,202692,9,14,2,10,0,1,0,0,40,38,0
44,4,109339,1,7,0,7,4,0,0,0,46,32,0
26,4,108658,8,9,4,7,1,1,0,0,40,38,0
36,4,197202,8,9,2,8,0,1,0,0,40,38,0
41,4,101739,4,12,2,4,5,0,0,0,50,38,1
39,2,207853,2,8,2,13,0,1,0,0,50,38,0
29,4,102345,5,11,5,3,1,1,0,0,40,38,0
31,5,41493,6,13,4,5,1,0,0,0,45,38,0
34,0,190027,8,9,4,0,4,0,0,0,40,38,0
44,4,210525,11,10,2,14,0,1,0,0,40,38,0
29,4,133937,7,16,4,10,3,1,0,0,40,38,0
30,4,237903,11,10,4,6,4,0,0,0,40,38,0
27,4,163862,8,9,4,14,1,1,0,0,40,38,0
27,4,201872,11,10,2,12,0,1,0,0,50,38,0
32,4,84179,8,9,4,6,1,0,0,0,45,38,0
35,2,233327,11,10,2,11,0,1,0,0,40,38,0
21,4,259510,8,9,4,6,3,1,0,0,36,38,0
28,4,184831,11,10,4,3,4,1,0,0,40,38,0
46,6,245724,11,10,0,4,1,1,0,0,50,38,0
36,6,27053,8,9,5,8,4,0,0,0,40,38,0
72,4,205343,1,7,6,1,4,0,0,0,40,38,0
35,4,229328,8,9,2,7,5,0,0,0,40,38,0
33,1,319560,5,11,0,3,4,0,0,0,40,38,1
69,4,136218,1,7,4,7,1,0,0,0,40,38,0
35,4,54576,8,9,2,7,0,1,0,0,40,38,0
30,4,152453,1,7,2,8,0,1,0,0,40,25,0
54,4,212960,6,13,2,12,0,1,0,0,35,38,1
47,4,264052,11,10,2,10,0,1,0,0,50,38,1
24,4,82804,8,9,4,6,4,0,0,0,40,38,0
20,4,27337,8,9,4,6,3,1,0,0,48,38,0
29,6,110663,8,9,5,3,1,1,0,0,35,38,0
47,4,87490,9,14,0,4,4,1,0,0,42,38,0
24,4,354351,8,9,4,3,3,1,0,0,40,38,0
51,4,95469,8,9,2,10,0,1,0,0,40,38,0
29,4,350162,6,13,2,4,5,1,0,0,40,38,1
36,6,28738,4,12,0,12,4,0,0,0,35,38,0
58,2,283635,6,13,4,10,1,0,0,0,40,38,0
26,6,86646,11,10,2,3,0,1,0,0,45,38,0
57,4,69884,8,9,2,12,0,1,0,0,40,38,1
59,4,199713,8,9,2,3,0,1,0,0,40,38,0
27,4,181659,8,9,2,7,0,1,0,0,40,38,0
31,6,340939,6,13,4,13,1,1,0,0,40,38,0
18,4,156764,1,7,4,8,3,1,0,0,40,38,0
42,0,137390,8,9,2,0,0,1,0,0,40,38,0
55,0,105138,8,9,2,0,5,0,0,0,40,38,0
23,4,117789,6,13,4,1,3,0,0,0,40,38,0
27,4,267147,8,9,4,12,3,1,0,0,40,38,0
49,4,136455,6,13,4,10,1,0,0,0,45,38,0
32,4,239824,6,13,4,13,1,1,0,0,40,38,0
42,2,175674,3,5,2,8,0,1,0,0,40,38,0
35,6,194404,4,12,4,5,1,1,0,0,40,38,0
48,4,45612,8,9,4,1,4,0,0,0,37,38,0
51,4,410114,9,14,2,3,0,1,0,0,40,38,1
29,4,182521,8,9,4,3,1,1,0,0,40,38,0
36,2,339772,8,9,5,4,1,1,0,0,40,38,0
24,4,247564,8,9,4,3,1,1,0,0,40,38,0
24,4,249909,8,9,2,6,0,1,0,0,50,38,0
30,4,369027,8,9,2,14,0,1,0,0,45,38,0
47,4,241832,3,5,3,6,4,1,0,0,40,8,0
34,4,153614,8,9,2,12,0,1,0,0,45,38,1
33,4,205469,11,10,2,4,0,1,0,0,40,38,1
47,6,165039,11,10,4,8,4,0,0,0,40,38,0
49,2,120451,0,6,5,8,4,0,0,0,40,38,0
30,4,103649,6,13,2,1,5,0,0,0,40,38,1
21,4,226181,6,13,4,6,1,1,0,0,40,38,0
60,4,199378,8,9,2,3,0,1,0,0,40,38,0
21,4,160968,11,10,4,6,3,1,0,0,40,38,0
31,4,55849,11,10,2,3,0,1,0,0,45,38,0
50,5,195322,7,16,5,10,1,1,0,0,40,38,1
31,2,402089,8,9,0,1,4,0,0,0,40,38,0
58,0,158611,8,9,2,0,0,1,0,0,50,38,0
30,7,169496,6,13,2,13,0,1,0,0,40,38,1
35,4,292472,7,16,2,10,0,1,0,0,40,35,1
38,7,143774,11,10,5,4,1,0,0,0,45,38,0
29,7,71592,11,10,4,1,4,0,0,0,40,29,0
34,4,106742,8,9,2,3,0,1,0,0,45,38,0
43,4,174524,8,9,2,7,0,1,0,0,40,38,1
44,6,335183,2,8,2,6,0,1,0,0,40,38,1
27,4,111900,11,10,4,10,1,1,0,0,40,38,0
43,2,194360,9,14,4,10,1,1,0,0,38,38,0
42,4,247019,8,9,2,3,0,1,0,0,40,38,1
48,1,110457,11,10,0,4,1,1,0,0,40,38,0
33,4,182556,6,13,2,4,0,1,0,0,40,38,1
50,5,219420,8,9,2,12,0,1,0,0,50,38,1
32,4,226267,11,10,2,1,0,1,0,0,40,25,0
31,4,125457,8,9,4,3,1,1,0,0,45,38,0
58,6,204021,8,9,6,4,1,1,0,0,50,38,0
29,2,92262,8,9,4,11,3,1,0,0,48,38,0
37,4,161141,5,11,2,3,0,1,0,0,40,31,1
34,6,190290,8,9,2,3,0,1,0,0,40,38,1
34,4,136721,8,9,0,4,1,0,0,0,40,38,0
41,4,195124,9,14,4,4,1,1,0,0,35,6,0
54,2,113000,11,10,2,5,0,1,0,0,40,38,0
24,4,140027,11,10,4,7,3,0,0,0,45,38,0
42,4,262425,11,10,2,10,0,1,0,0,50,38,0
25,0,202480,4,12,4,0,2,1,0,0,45,38,0
30,4,189620,6,13,4,10,3,0,0,0,40,30,0
36,2,110866,6,13,4,10,1,1,0,0,50,38,0
31,6,80145,11,10,2,3,0,1,0,0,40,38,0
44,4,63042,6,13,0,4,3,0,0,0,50,38,1
40,4,229148,2,8,2,8,0,1,0,0,40,22,0
45,4,242552,11,10,4,12,1,1,0,0,40,38,0
60,4,177665,8,9,2,3,0,1,0,0,35,38,0
28,4,296450,6,13,2,10,0,1,0,0,40,38,0
36,4,70282,11,10,0,1,4,0,0,0,40,38,0
36,4,271767,6,13,5,10,1,1,0,0,40,0,0
36,2,382635,6,13,0,1,4,0,0,0,35,15,0
31,4,295697,8,9,5,8,4,0,0,0,40,38,0
33,4,194141,8,9,2,7,0,1,0,0,40,38,0
19,7,378418,8,9,4,13,3,0,0,0,40,38,0
34,4,217460,6,13,2,4,0,1,0,0,45,38,1
33,4,182556,8,9,4,8,1,1,0,0,40,38,0
50,2,50459,8,9,2,4,0,1,0,0,42,38,1
43,4,177937,6,13,4,10,1,1,0,0,40,0,1
44,4,111502,8,9,2,12,5,0,0,0,40,38,0
31,4,223212,8,9,2,8,0,1,0,0,40,25,0
55,4,173093,11,10,0,1,1,0,0,0,40,38,0
45,0,51164,11,10,2,0,5,0,0,0,40,38,0
36,4,131414,11,10,4,12,1,0,0,0,36,38,0
43,7,260960,6,13,2,10,0,1,0,0,50,38,0
42,4,279914,6,13,2,13,0,1,0,0,40,38,1
26,4,112847,5,11,4,13,3,1,0,0,40,38,0
42,2,126319,6,13,2,10,5,0,0,0,40,38,1
32,4,267736,11,10,4,1,3,0,0,0,40,38,0
29,4,267034,1,7,4,3,3,1,0,0,40,14,0
46,7,193047,6,13,2,10,0,1,0,0,37,38,0
58,6,87510,0,6,2,3,0,1,0,0,40,38,0
23,4,145111,8,9,4,14,4,1,0,0,50,38,0
39,4,48093,8,9,4,6,1,1,0,0,40,38,0
27,4,31757,5,11,4,3,3,1,0,0,38,38,0
54,4,285854,8,9,2,14,0,1,0,0,40,38,1
33,2,120064,6,13,4,10,1,0,0,0,45,38,0
46,1,167381,8,9,2,1,5,0,0,0,40,38,1
37,4,103408,8,9,4,5,1,1,0,0,40,38,0
34,2,119411,8,9,0,11,4,1,0,0,40,31,0
32,4,283268,0,6,5,8,4,0,0,0,42,38,0
31,7,301526,11,10,3,8,2,1,0,0,40,38,0
47,6,106252,6,13,0,12,1,0,0,0,50,38,0
32,4,188557,8,9,4,7,1,1,0,0,40,38,0
26,4,171114,11,10,4,5,1,0,0,0,38,38,0
55,4,116442,8,9,4,12,1,1,0,0,38,38,0
36,4,51838,11,10,0,1,4,0,0,0,40,38,0
34,4,73585,9,14,2,10,0,1,0,0,40,0,0
43,4,226902,6,13,2,12,0,1,0,0,50,38,1
54,4,279129,11,10,4,13,1,1,0,0,40,38,0
43,7,146908,11,10,2,3,0,1,0,0,40,0,0
40,4,130760,5,11,2,4,0,1,0,0,50,38,1
42,4,169628,11,10,0,1,1,0,0,0,38,38,0
48,4,102102,5,11,2,13,0,1,0,0,50,38,1
41,5,32185,6,13,2,13,0,1,0,0,40,38,0
18,0,196061,11,10,4,0,3,1,0,0,33,38,0
61,4,128831,8,9,2,7,0,1,0,0,40,38,0
25,4,316688,8,9,4,7,1,1,0,0,40,38,0
46,4,90758,9,14,4,13,1,1,0,0,35,38,1
43,4,154538,4,12,0,3,1,1,0,0,40,38,0
31,4,51471,8,9,0,1,4,0,0,0,38,38,0
50,0,23780,9,14,3,0,2,1,0,0,40,38,0
64,4,270333,6,13,2,10,0,1,0,0,40,38,1
30,4,191571,8,9,5,8,3,0,0,0,36,38,0
22,0,219941,11,10,4,0,3,1,0,0,40,38,0
43,4,94113,11,10,0,4,1,1,0,0,45,38,0
22,4,137510,11,10,4,1,3,1,0,0,40,38,0
56,4,186556,11,10,2,3,0,1,0,0,50,38,1
64,4,169871,8,9,2,14,0,1,0,0,45,38,0
47,4,191277,8,9,2,14,0,1,0,0,50,38,1
48,4,167159,5,11,4,1,4,1,0,0,40,38,0
31,4,171871,9,14,4,10,1,0,0,0,46,38,0
29,4,154411,5,11,4,13,3,1,0,0,40,38,0
